"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"1","NP_958782","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"2","NP_958785","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"3","NP_958786","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"4","NP_000436","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"5","NP_958781","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"6","NP_958780","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"7","NP_958783","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"8","NP_958784","Q15149","reviewed","PLEC_HUMAN","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)","PLEC PLEC1","Homo sapiens (Human)",4684
"9","NP_112598","P58107","reviewed","EPIPL_HUMAN","Epiplakin (450 kDa epidermal antigen)","EPPK1 EPIPL","Homo sapiens (Human)",5088
"10","NP_001611","Q09666","reviewed","AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)","AHNAK PM227","Homo sapiens (Human)",5890
"11","NP_001611","B4DTV0","unreviewed","B4DTV0_HUMAN","cDNA FLJ57801, highly similar to Homo sapiens AHNAK nucleoprotein (desmoyokin) (AHNAK), transcript variant 1, mRNA","","Homo sapiens (Human)",1079
"12","NP_076965","Q09666","reviewed","AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)","AHNAK PM227","Homo sapiens (Human)",5890
"13","NP_076965","Q9BVU3","unreviewed","Q9BVU3_HUMAN","AHNAK protein","AHNAK","Homo sapiens (Human)",150
"14","NP_001367","Q14204","reviewed","DYHC1_HUMAN","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)","DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325","Homo sapiens (Human)",4646
"15","NP_036222","Q9UPN3","reviewed","MACF1_HUMAN","Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)","MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251","Homo sapiens (Human)",7388
"16","NP_036222","Q6ZSD7","unreviewed","Q6ZSD7_HUMAN","cDNA FLJ45612 fis, clone BRTHA3025073, highly similar to Actin cross-linking family protein 7","","Homo sapiens (Human)",1062
"17","NP_001138241","Q03001","reviewed","DYST_HUMAN","Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)","DST BP230 BP240 BPAG1 DMH DT KIAA0728","Homo sapiens (Human)",7570
"18","NP_001138241","B4DSS9","unreviewed","B4DSS9_HUMAN","cDNA FLJ59296, highly similar to Bullous pemphigoid antigen 1 isoforms1/2/3/4/5/8","","Homo sapiens (Human)",1479
"19","NP_001138241","Q6P0N6","unreviewed","Q6P0N6_HUMAN","DST protein (Dystonin)","DST","Homo sapiens (Human)",1143
"20","NP_001714","Q03001","reviewed","DYST_HUMAN","Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)","DST BP230 BP240 BPAG1 DMH DT KIAA0728","Homo sapiens (Human)",7570
"21","NP_002464","P35579","reviewed","MYH9_HUMAN","Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)","MYH9","Homo sapiens (Human)",1960
"22","NP_001073936","Q9ULV0","reviewed","MYO5B_HUMAN","Unconventional myosin-Vb","MYO5B KIAA1119","Homo sapiens (Human)",1848
"23","NP_001073936","Q7Z7A5","unreviewed","Q7Z7A5_HUMAN","Myosin 5B","MYO5B","Homo sapiens (Human)",720
"24","NP_061198","Q9NQX4","reviewed","MYO5C_HUMAN","Unconventional myosin-Vc","MYO5C","Homo sapiens (Human)",1742
"25","NP_001074248","O00159","reviewed","MYO1C_HUMAN","Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)","MYO1C","Homo sapiens (Human)",1063
"26","NP_001074419","O00159","reviewed","MYO1C_HUMAN","Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)","MYO1C","Homo sapiens (Human)",1063
"27","NP_056009","O94832","reviewed","MYO1D_HUMAN","Unconventional myosin-Id","MYO1D KIAA0727","Homo sapiens (Human)",1006
"28","NP_056009","Q8N618","unreviewed","Q8N618_HUMAN","MYO1D protein","MYO1D","Homo sapiens (Human)",163
"29","NP_036355","O43795","reviewed","MYO1B_HUMAN","Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)","MYO1B","Homo sapiens (Human)",1136
"30","NP_036355","B0I1S9","unreviewed","B0I1S9_HUMAN","MYO1B variant protein (Myosin IB, isoform CRA_a)","MYO1B hCG_25797","Homo sapiens (Human)",1136
"31","NP_001155291","O43795","reviewed","MYO1B_HUMAN","Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)","MYO1B","Homo sapiens (Human)",1136
"32","NP_001155291","B0I1S9","unreviewed","B0I1S9_HUMAN","MYO1B variant protein (Myosin IB, isoform CRA_a)","MYO1B hCG_25797","Homo sapiens (Human)",1136
"33","NP_002462","P13533","reviewed","MYH6_HUMAN","Myosin-6 (Myosin heavy chain 6) (Myosin heavy chain, cardiac muscle alpha isoform) (MyHC-alpha)","MYH6 MYHCA","Homo sapiens (Human)",1939
"34","NP_000248","P12883","reviewed","MYH7_HUMAN","Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)","MYH7 MYHCB","Homo sapiens (Human)",1935
"35","NP_036467","O00160","reviewed","MYO1F_HUMAN","Unconventional myosin-If (Myosin-Ie)","MYO1F","Homo sapiens (Human)",1098
"36","NP_036467","Q4LE34","unreviewed","Q4LE34_HUMAN","MYO1F variant protein","MYO1F variant protein","Homo sapiens (Human)",1143
"37","NP_004989","Q12965","reviewed","MYO1E_HUMAN","Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)","MYO1E MYO1C","Homo sapiens (Human)",1108
"38","NP_004989","Q4KMR3","unreviewed","Q4KMR3_HUMAN","MYO1E variant protein (Myosin IE) (cDNA FLJ76307, highly similar to Homo sapiens myosin IE (MYO1E), mRNA)","MYO1E hCG_38672","Homo sapiens (Human)",1108
